Date;Open;High;Low;Close;Volume;market_cap;total_volume;Value - Hrate;Value - Uadresses;google_trends
01/10/2015;235.6000;238.0000;234.5881;237.8000;36.2736;451600;142978;465548.431663;247211;2
02/10/2015;236.4600;239.8565;236.4288;236.4288;71.1290;451600;178994;377880.220506;254192;2
03/10/2015;236.4800;238.8000;236.4600;238.8000;18.6420;451600;3750;459502.348135;234800;2
04/10/2015;238.0000;239.9459;237.6000;238.9670;9.3187;451600;365080;456479.306371;261675;2
05/10/2015;237.6340;240.4422;237.1640;239.4800;84.7867;451600;3452;447410.181079;226632;2
06/10/2015;240.2600;248.3900;239.7200;244.5300;87.2123;451600;17780;450433.222843;249199;2
07/10/2015;246.0000;247.2000;234.5500;241.2189;131.5713;451600;55902;408110.638146;239250;2
08/10/2015;243.6460;244.7300;233.0000;242.7000;112.9242;451600;8079;414156.721675;265540;2
09/10/2015;242.5200;244.8715;241.7451;241.7451;110.7250;451600;4253;402064.554618;211096;2
10/10/2015;243.5500;245.6400;243.2100;245.6400;6.2484;451600;1819;450433.222843;278854;2
11/10/2015;245.7001;247.1200;245.0554;245.1101;43.1792;451600;116;453456.264607;234919;2
12/10/2015;246.6890;247.1100;244.0001;245.6106;28.3641;451600;47949;423225.846967;232117;2
13/10/2015;245.2844;249.5100;244.0100;249.0000;118.5043;451600;25982;405087.596382;235683;2
14/10/2015;250.0000;253.6601;241.0000;253.6380;100.1728;451600;126516;459502.348135;228578;2
15/10/2015;254.0000;255.0000;251.8600;253.5587;105.3461;451600;8070;493327.875054;307247;2
16/10/2015;254.2741;268.5077;253.0000;258.0000;272.7628;451600;98610;469115.464008;275882;2
17/10/2015;260.9701;270.9994;260.9701;270.0000;96.8547;451600;37798;396478.230872;313859;2
18/10/2015;265.2000;267.6100;251.0000;251.0000;63.8712;451600;3565;432796.84744;274902;2
19/10/2015;258.8600;265.7340;258.8600;264.0600;23.8662;451600;3712;432796.84744;274902;2
20/10/2015;264.9000;270.0000;264.0000;270.0000;144.1171;451600;5951;502407.529196;266086;2
21/10/2015;269.4237;270.7400;264.5700;266.5931;178.9260;451600;30330;384372.025349;290886;2
22/10/2015;266.2132;278.0000;263.7301;274.2000;70.2272;451600;42407;438849.950201;309724;2
23/10/2015;270.0000;279.3111;270.0000;276.6418;100.3908;451600;76000;475168.56677;289944;2
24/10/2015;277.8000;283.5688;277.8000;283.3751;76.2612;451600;115659;466088.912628;281281;2
25/10/2015;284.9700;294.4750;282.4400;282.4400;115.0985;451600;74005;420690.641917;323968;3
26/10/2015;284.4097;286.0000;280.6445;285.2500;70.3912;451600;191117;469115.464008;278147;3
27/10/2015;285.4196;296.3100;285.2390;292.5071;248.2093;451600;11647;460035.809866;277058;3
28/10/2015;294.4124;305.0000;290.0000;298.0000;142.9026;451600;51255;478195.11815;282636;3
29/10/2015;297.0100;317.8446;296.4000;312.1112;126.2221;451600;64636;411610.987775;274092;3
30/10/2015;312.0260;333.0000;311.7704;325.0000;329.3575;451600;229115;458010.013458;297971;3
31/10/2015;325.7500;331.0000;306.1304;306.1304;56.6478;451600;25791;507524.609508;298795;3
01/11/2015;313.4608;320.0000;304.6900;320.0000;57.3936;451600;24088;470388.662471;318120;4
02/11/2015;320.0000;360.0000;314.0000;358.1700;190.4802;451600;20445;492051.298242;305108;4
03/11/2015;349.4990;418.9700;307.2300;397.7700;388.8784;451600;17806;448726.026699;298505;4
04/11/2015;398.8904;489.9900;368.4853;408.9626;426.1640;451600;100936;488956.635989;360192;4
05/11/2015;395.2465;438.7174;341.0000;380.0000;193.9243;451600;168417;479672.64923;392233;4
06/11/2015;382.0235;390.0000;346.3401;362.0600;96.2405;451600;227269;461104.675711;374641;4
07/11/2015;372.9000;389.8100;368.0000;383.8900;53.7028;451600;369740;423968.728674;354664;4
08/11/2015;374.0877;385.0000;352.0000;371.7638;76.5593;451600;1258310;504429.947255;317500;3
09/11/2015;371.3614;379.0000;350.0000;367.0000;52.9476;451600;15103;433252.715433;333196;3
10/11/2015;367.0000;378.9900;327.2600;338.0000;123.7167;451600;15769;454915.351205;310788;3
11/11/2015;338.0000;341.0000;300.0000;304.8000;140.3254;451600;26146;442536.702193;295638;3
12/11/2015;309.1970;341.0000;301.5600;336.0000;184.0484;451600;24572;579380.209973;340384;3
13/11/2015;329.0400;340.1788;326.5000;336.9484;114.8787;451600;36010;477906.839865;301266;3
14/11/2015;337.9218;339.4700;326.0300;329.7431;51.7855;451600;68635;546646.864777;299301;3
15/11/2015;330.6943;333.7400;315.0000;315.0000;73.5333;451600;12193;497546.846983;348007;3
16/11/2015;315.9809;330.0000;315.7007;321.9069;83.0148;451600;28790;474633.505345;301039;3
17/11/2015;329.6500;336.8900;329.6500;330.0000;87.4288;451600;14532;576106.875454;310746;3
18/11/2015;330.0000;334.7500;326.0000;326.5000;59.6515;451600;21419;527006.857659;321631;3
19/11/2015;332.7000;332.7099;323.0709;326.2600;46.0662;451600;6311;458266.832747;328378;3
20/11/2015;323.0709;323.0709;310.0000;317.2100;78.9446;451600;20001;458266.832747;297379;3
21/11/2015;319.9758;324.3700;319.9758;322.8000;4.5721;451600;8107;520460.18862;298609;3
22/11/2015;325.0000;325.0000;319.0333;322.8500;36.6627;451600;6555;582653.544493;334688;3
23/11/2015;320.0000;323.5000;319.0000;322.6843;68.8862;451600;6018;569560.206415;265164;3
24/11/2015;319.0000;325.0000;316.0132;323.4800;349.5249;451600;29996;523733.52314;324317;3
25/11/2015;323.3000;330.0000;317.5700;329.6900;175.5218;451600;6187;549490.493162;307413;3
26/11/2015;329.7079;370.0000;329.7000;350.5500;136.6211;451600;9823;556720.631229;307690;3
27/11/2015;351.5100;364.0000;350.5300;360.0000;83.1719;451600;17537;585641.183501;319759;3
28/11/2015;354.0000;359.0000;350.2779;356.5000;54.9082;451600;6911;538645.28606;284894;3
29/11/2015;357.4390;373.7700;353.0300;370.3900;87.6997;451600;21482;527800.078958;349162;3
30/11/2015;370.3900;380.6800;370.3900;378.4999;79.7337;451600;138902;567565.838331;269023;3
01/12/2015;377.6872;378.4700;355.0000;361.5820;442.0814;451600;303493;542260.355094;384237;3
02/12/2015;362.4066;362.4066;349.2000;358.6900;228.5562;951600;128383;694093.25452;365897;3
03/12/2015;359.4600;370.0000;356.9880;361.2980;1144.6330;951600;199602;531415.147992;339855;3
04/12/2015;363.6827;365.0826;357.4840;364.9345;50.8139;951600;135262;520569.94089;317811;3
05/12/2015;364.3200;390.5843;363.9300;387.6500;205.3326;951600;6786;607331.597705;426997;4
06/12/2015;391.3800;404.2140;386.0100;387.6548;170.3199;951600;28380;621791.873841;374142;4
07/12/2015;386.4955;398.0000;384.0700;395.3000;241.3464;951600;214181;621791.873841;374142;4
08/12/2015;391.8800;415.0000;388.5200;415.0000;259.5114;951600;10077;593762.303117;340611;4
09/12/2015;414.9800;420.0000;404.0000;416.3300;265.7616;951723;16627;625219.90858;374956;4
10/12/2015;417.2700;420.0000;410.0128;416.0000;233.1167;951638;8642;695999.520873;414210;4
11/12/2015;417.8330;445.0000;417.8330;443.1190;461.3582;951600;24191;770711.333848;403387;4
