;SVC signal;return;;return of buy only (SVC);return of buy and hold;;return of buy/sell;;;;AdaBoost signal;;return of buy only (adaboost);;return of buy/sell;;;%;
12/10/2019;1;0,004329266;0,004329266;1,004329266;1,004329266;0,004329266;1,004329266;;0,001088294;;1;0,004329266;1,004329266;0,004329266;1,004329266;;20191014;0,007;0,00007
13/10/2019;1;-0,003022239;-0,003022239;1,001293943;1,001293943;-0,003022239;1,001293943;;;;0;0;1,004329266;0,003022239;1,00736459;;20191015;0,007;0,00007
14/10/2019;0;0,009009662;0;1,001293943;1,010315262;-0,009009662;0,992272623;;;;0;0;1,004329266;-0,009009662;0,998288575;;20191016;0,007;0,00007
15/10/2019;1;-0,022753932;-0,022753932;0,978510568;0,987326618;-0,022753932;0,969694519;;;;1;-0,022753932;0,981476826;-0,022753932;0,975573585;;20191017;0,007;0,00007
16/10/2019;1;-0,020148203;-0,020148203;0,958795339;0,967433761;-0,020148203;0,950156917;;;;1;-0,020148203;0,961701832;-0,020148203;0,955917531;;20191018;0,007;0,00007
17/10/2019;1;0,00962488;0,00962488;0,968023629;0,976745195;0,00962488;0,959302063;;;;1;0,00962488;0,970958097;0,00962488;0,965118122;;20191021;0,007;0,00007
18/10/2019;1;-0,014943482;-0,014943482;0,953557985;0,96214922;-0,014943482;0,94496675;;;;1;-0,014943482;0,956448602;-0,014943482;0,950695896;;20191022;0,007;0,00007
19/10/2019;1;0,000326785;0,000326785;0,953869594;0,962463636;0,000326785;0,945275551;;;;1;0,000326785;0,956761155;0,000326785;0,95100657;;20191023;0,007;0,00007
20/10/2019;1;0,035201005;0,035201005;0,987446762;0,996343323;0,035201005;0,978550201;;;;1;0,035201005;0,990440109;0,035201005;0,984482957;;20191024;0,007;0,00007
21/10/2019;1;-0,002706278;-0,002706278;0,984774457;0,993646942;-0,002706278;0,975901972;;;;0;0;0,990440109;0,002706278;0,987147241;;20191025;0,007;0,00007
22/10/2019;1;-0,023105124;-0,023105124;0,962021121;0,970688606;-0,023105124;0,953353636;;;;1;-0,023105124;0,967555868;-0,023105124;0,964339082;;20191028;0,007;0,00007
